id,latex,language,pronunciation
197,"\bar{\partial}\sigma_i=\bar{\partial}v_i, ~{\rm in}~ M_{i}, ",eng,"overline partial sigma sub i equals overline partial v sub i, in M sub i"
200, X = \bigcup_{i=0}^\infty \bigcap_{n=i}^\infty T^n(U).,eng,X equals the union from i equals zero to infinity of the intersection from n equals i to infinity of T to the n of U.
201, X = \bigcup_{i=0}^\infty \bigcap_{n=i}^\infty T^n(U).,eng,X is given by the union for i from zero to infinity of the intersection for n from i to infinity of T raised to the n applied to U.
204,"\kappa_{m,\ell}=\kappa_{m,\ell'}- \delta_{m} b.",eng,kappa sub m comma ell equals kappa sub m comma ell prime minus delta sub m b
205,"\kappa_{m,\ell}=\kappa_{m,\ell'}- \delta_{m} b.",eng,kappa of m and ell is equal to kappa of m and ell prime minus delta of m times b
208,"\exp(f)(1) = e^{f(1)},",eng,exponential of f of one equals e to the power of f of one
209,"\exp(f)(1) = e^{f(1)},",eng,exp of f at one equals e exponentiated to f at one
212,"{2 \over g'(x_+)} \equiv \beta_H=\bar{\beta} ,",eng,The fraction two over g prime of x plus is equivalent to beta sub H equals bar beta.
213,"{2 \over g'(x_+)} \equiv \beta_H=\bar{\beta} ,",eng,"Two divided by the derivative of g at x plus is congruent to beta sub H, which equals beta bar."
216,"H^p_A = \{f \in \mathcal{S}' \colon M_{\phi,A}^0 f \in L^p \}",eng,H p sub A equals the set of all f in script S prime such that M phi comma A to the zero f is in L p.
217,"H^p_A = \{f \in \mathcal{S}' \colon M_{\phi,A}^0 f \in L^p \}",eng,H p sub A consists of all f belonging to the space script S prime so that M phi comma A raised to the zero applied to f resides in L p.
220, Z^* = \widehat{\rho}_x(X) + V + W ,eng,Z star equals rho hat sub x of X plus V plus W
221, Z^* = \widehat{\rho}_x(X) + V + W ,eng,"Z star is the sum of rho hat sub x X, V, and W"
224,"I_{\mu,j,n}(f):=\int_{\mathbb D}|f^{(j)}(z)|^2P_{\mu}(z)(1-|z|^2)^{n-1}dA(z)",eng,"I sub mu comma j comma n of f is equal to the integral over the unit disk of the absolute value of f raised to j of z squared times P sub mu of z times one minus the absolute value of z squared raised to n minus one, with respect to the area measure dA of z."
225,"I_{\mu,j,n}(f):=\int_{\mathbb D}|f^{(j)}(z)|^2P_{\mu}(z)(1-|z|^2)^{n-1}dA(z)",eng,"I sub mu j n of f equals the integral over the complex disk D of the modulus f to the power of j at z squared, multiplied by P mu of z and the function one minus the squared modulus of z raised to the power n minus one, dA of z."
228," \gamma(s,t)= t^{\frac{1}{p}}(w_*)_1+s^{\frac{1}{p}}(w_*)_2, \forall (s,t) \in \partial B.",eng,"Gamma of s comma t equals t raised to the power of one over p multiplied by w star sub one plus s raised to the power of one over p multiplied by w star sub two, for all s comma t in the boundary of B."
229," \gamma(s,t)= t^{\frac{1}{p}}(w_*)_1+s^{\frac{1}{p}}(w_*)_2, \forall (s,t) \in \partial B.",eng,"Gamma of s t is equal to t to the power of one divided by p times w star sub one plus s to the power of one divided by p times w star sub two, for every s and t in the border of B."
232,"\left[ Z_{I}^{J\#}(\theta ),Z_{II}^{\#}(\theta ^{\prime })\right] =0",eng,bracket Z subscript I superscript J sharp of theta close bracket comma Z subscript II superscript sharp of theta prime close bracket equals zero
233,"\left[ Z_{I}^{J\#}(\theta ),Z_{II}^{\#}(\theta ^{\prime })\right] =0",eng,left bracket Z sub I with J hash of theta close comma Z sub II with hash of theta prime right bracket equals zero
236,"b(m) = b_0(m) + b_1(m) + \dotsb + b_n(m),",eng,b of m equals b naught of m plus b one of m plus dot dot dot plus b n of m
237,"b(m) = b_0(m) + b_1(m) + \dotsb + b_n(m),",eng,b sub m is b sub zero of m plus b sub one of m plus and so forth plus b sub n of m
240, H(\xi)E(\ominus \xi)\:=\: \left( \prod_{i=1}^k \ominus \xi \right) \xi^{n-k} (1-H_1) + q \/. ,eng,"H of xi times E of negation xi equals the product over i from 1 to k negation xi, times xi to the power of n minus k, times the quantity one minus H one, plus q."
241, H(\xi)E(\ominus \xi)\:=\: \left( \prod_{i=1}^k \ominus \xi \right) \xi^{n-k} (1-H_1) + q \/. ,eng,"H psi E not psi equals the product one through k of not psi xi to the n minus k, one minus H one plus q."
244,"r\rightarrow r_0, f \rightarrow 1+sinh^2\gamma=cosh^2\gamma\equiv\lambda^3",eng,"""r approaches r naught, and f equals one plus sinh squared gamma equals cosh squared gamma equals lambda cubed"""
245,"r\rightarrow r_0, f \rightarrow 1+sinh^2\gamma=cosh^2\gamma\equiv\lambda^3",eng,"""r tending towards r sub-zero, f is one plus the square of the hyperbolic sine of gamma is equivalent to the square of the hyperbolic cosine of gamma or lambda cubed"""
248,X_{H_4}: y^2 = x^6 - 18x^3 - 27.,eng,"Pronunciation 1: X sub H four, y squared equals x to the sixth minus eighteen x cubed minus twenty-seven."
249,X_{H_4}: y^2 = x^6 - 18x^3 - 27.,eng,"Pronunciation 2: X sub H four, y squared is equal to x raised to the sixth power minus eighteen x to the third power minus twenty-seven."
252,\sigma_{\alpha s+t} = \sigma_{\alpha s+t-1} + 1 = 4r-1-2\alpha .,eng,sigma sub alpha s plus t equals sigma sub alpha s plus t minus one plus one equals four r minus one minus two alpha
253,\sigma_{\alpha s+t} = \sigma_{\alpha s+t-1} + 1 = 4r-1-2\alpha .,eng,sigma of alpha s plus t is equal to sigma of alpha s plus t minus one plus one which equals four r subtract one subtract two alpha
256,\sum_{Y\in \mathcal{X}_B}{a_Y E_Y}=\sum_{Y\in \mathcal{X}_B}{a_Y^2 E_Y},eng,Sum over Y in script X sub B of a sub Y E sub Y equals sum over Y in script X sub B of a sub Y squared E sub Y.
257,\sum_{Y\in \mathcal{X}_B}{a_Y E_Y}=\sum_{Y\in \mathcal{X}_B}{a_Y^2 E_Y},eng,Sigma of Y in curly X sub B where a sub Y E sub Y equals sigma of Y in curly X sub B where a sub Y squared multiplied by E sub Y.
260," (i\partial_t+(-\Delta_{x})^{\sigma})u=F,u(0)= u_0\in H^{\sigma}(\mathbb{R}^d).",eng,"""i partial t plus negative Laplacian sub x to the power of sigma close parenthesis u equals F, u of zero equals u naught in H superscript sigma of R superscript d."""
261," (i\partial_t+(-\Delta_{x})^{\sigma})u=F,u(0)= u_0\in H^{\sigma}(\mathbb{R}^d).",eng,"""i times the partial derivative with respect to t plus the negative Laplacian operator of x raised to the sigma power, applied to u, is equal to F. At zero, u equals u zero, which belongs to the Sobolev space H sigma on the real number space R to the power of d."""
264,"\mathcal{C}=\{g_ig_j^{-1}\,:\,\}.",eng,1. C equals the set of g_i times the inverse of g_j.
265,"\mathcal{C}=\{g_ig_j^{-1}\,:\,\}.",eng,"2. The set denoted as C, consisting of products g_i and the multiplicative inverse of g_j."
268, |Q_n(T_N(z))|^2 \leq \sum_{k=1}^{N} |R_n(z_k)|^2 + O(q^{n^{\tau_0/2}}).,eng,Q sub n of T sub N of z all squared is less than or equal to the sum from k equals one to N of R sub n of z sub k all squared plus big O of q raised to the power of n to the power of tau naught over two.
269, |Q_n(T_N(z))|^2 \leq \sum_{k=1}^{N} |R_n(z_k)|^2 + O(q^{n^{\tau_0/2}}).,eng,The absolute value of Q n acting on T N z squared is bounded above by the summation from k equal 1 to N of the absolute value of R n acting on z k squared plus a term O of q to the power of n to the tau zero divided by 2.
272,"0 = \sum_l X_{l\bar li} - w A \varphi_{t,i} ,",eng,Zero equals the sum over ell of X sub ell bar ell i minus w A phi sub t comma i.
273,"0 = \sum_l X_{l\bar li} - w A \varphi_{t,i} ,",eng,"Zero is equal to the summation over l of X sub l bar l i, subtracting w A phi sub t i."
